_id,programId,programName,description,createdBy,creationDate,coe,__v,trainerId
660ed878d1b3e162abf04cc4,1,Data Science Fundamentals,"An introductory course covering fundamental concepts and techniques in data science, including data manipulation, visualization, and basic machine learning algorithms.",66053fefd7c487757f97efbc,2024-04-04 16:42:32.694000,660ed43ad1b3e162abf04caf,0.0,
660ed889d1b3e162abf04cc6,2,Advanced Machine Learning,"A comprehensive training program focusing on advanced machine learning algorithms and techniques, such as deep learning, reinforcement learning, and natural language processing.",66053fefd7c487757f97efbc,2024-04-04 16:42:49.622000,660ed43ad1b3e162abf04caf,0.0,
660ed895d1b3e162abf04cc8,3,UI/UX Design Essentials,"Essential training for aspiring UI/UX designers, covering topics like design principles, prototyping tools, and user research methodologies.",66053fefd7c487757f97efbc,2024-04-04 16:43:01.026000,660ed5b4d1b3e162abf04cb9,0.0,
660ed895d1b3e162abf04cca,3,UI/UX Design Essentials,"Essential training for aspiring UI/UX designers, covering topics like design principles, prototyping tools, and user research methodologies.",66053fefd7c487757f97efbc,2024-04-04 16:43:01.243000,660ed5b4d1b3e162abf04cb9,0.0,
660ed8a0d1b3e162abf04ccc,4,Backend Development Bootcamp,"A hands-on bootcamp for backend developers, covering server-side programming languages, database management, and RESTful API development.",66053fefd7c487757f97efbc,2024-04-04 16:43:12.178000,660ed5c4d1b3e162abf04cbb,0.0,
660ed8a9d1b3e162abf04cce,5,Cloud Computing Fundamentals,"An introductory course providing an overview of cloud computing concepts, services, and deployment models, along with hands-on experience with popular cloud platforms.",66053fefd7c487757f97efbc,2024-04-04 16:43:21.878000,660ed4c2d1b3e162abf04cb3,0.0,
660ed929d1b3e162abf04cd0,6,Data Engineering Essentials,"An essential training program for data engineers, covering data pipeline design, ETL processes, and data warehousing techniques.",66053fefd7c487757f97efbc,2024-04-04 16:45:29.078000,660ed5d6d1b3e162abf04cbd,0.0,
660ed945d1b3e162abf04cd2,7,Data Analytics Bootcamp,"A comprehensive bootcamp for data analysts, covering data visualization, statistical analysis, and predictive modeling techniques.",66053fefd7c487757f97efbc,2024-04-04 16:45:57.363000,660ed5e7d1b3e162abf04cbf,0.0,
660ed957d1b3e162abf04cd4,8,Automation Essentials,"Essential training for automation engineers, covering automation frameworks, scripting languages, and continuous integration tools.",66053fefd7c487757f97efbc,2024-04-04 16:46:15.370000,660ed5f7d1b3e162abf04cc1,0.0,
6612820b9ee42a92ec2a0f00,10,Software development life cycle (SDLC),This is Software development life cycle (SDLC) training,660feb0a6f3688dd93b44390,2020-08-29,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b443b2', '660feb0a6f3688dd93b4439b', '660feb0a6f3688dd93b443aa']"
6612820b9ee42a92ec2a0f01,11,Object-oriented programming (OOP),This is Object-oriented programming (OOP) training,660feb0a6f3688dd93b442ff,2021-09-17,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b4436d', '660feb0a6f3688dd93b443a1', '660feb0a6f3688dd93b44321']"
6612820b9ee42a92ec2a0f02,12,Design patterns,This is Design patterns training,660feb0a6f3688dd93b443a3,2020-12-27,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b44372', '660feb0a6f3688dd93b4430d', '660feb0a6f3688dd93b4433b']"
6612820b9ee42a92ec2a0f03,13,Software testing,This is Software testing training,660feb0a6f3688dd93b443a0,2020-08-31,660ed4a4d1b3e162abf04cb1,,"['660feb0a6f3688dd93b4435a', '660feb0a6f3688dd93b4433e', '660feb0a6f3688dd93b44358']"
6612820b9ee42a92ec2a0f04,14,Agile methodologies,This is Agile methodologies training,660feb0a6f3688dd93b44314,2021-12-20,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b44335']
6612820b9ee42a92ec2a0f05,15,Continuous integration/continuous deployment (CI/CD),This is Continuous integration/continuous deployment (CI/CD) training,660feb0a6f3688dd93b44371,2022-01-29,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b44386']
6612820b9ee42a92ec2a0f06,16,Version control (Git),This is Version control (Git) training,660feb0a6f3688dd93b44321,2021-01-25,660ed4a4d1b3e162abf04cb1,,['660feb0a6f3688dd93b4436f']
